source,model,dataset,task,task_type,metric,test_score
relgt_paper,relgt_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.9053
relgt_paper,relgt_MR,rel-trial,site-success,REGRESSION,mae,0.3263
relgt_paper,relgt_MR,rel-trial,study-adverse,REGRESSION,mae,43.992
relgt_paper,relgt_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.6861
tabpfn3_report,tabpfn-rel_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.8281
tabpfn3_report,tabpfn-rel_MR,rel-amazon,item-ltv,REGRESSION,mae,46.199
tabpfn3_report,tabpfn-rel_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.7027
tabpfn3_report,tabpfn-rel_MR,rel-amazon,user-ltv,REGRESSION,mae,14.359
tabpfn3_report,tabpfn-rel_MR,rel-avito,ad-ctr,REGRESSION,mae,0.031
tabpfn3_report,tabpfn-rel_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.6709
tabpfn3_report,tabpfn-rel_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.6668
tabpfn3_report,tabpfn-rel_MR,rel-event,user-attendance,REGRESSION,mae,0.241
tabpfn3_report,tabpfn-rel_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.8538
tabpfn3_report,tabpfn-rel_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7711
tabpfn3_report,tabpfn-rel_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.7074
tabpfn3_report,tabpfn-rel_MR,rel-f1,driver-position,REGRESSION,mae,3.757
tabpfn3_report,tabpfn-rel_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.7998
tabpfn3_report,tabpfn-rel_MR,rel-hm,item-sales,REGRESSION,mae,0.059
tabpfn3_report,tabpfn-rel_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.7055
tabpfn3_report,tabpfn-rel_MR,rel-stack,post-votes,REGRESSION,mae,0.068
tabpfn3_report,tabpfn-rel_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.8517
tabpfn3_report,tabpfn-rel_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.9066
tabpfn3_report,tabpfn-rel_MR,rel-trial,site-success,REGRESSION,mae,0.385
tabpfn3_report,tabpfn-rel_MR,rel-trial,study-adverse,REGRESSION,mae,40.202
tabpfn3_report,tabpfn-rel_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.7643
